id,customer_id,amount,status,next_payment_date
SUB-13e92f83,CUST-1216,2000.0,PAST_DUE,2026-08-29T13:16:04.270951
SUB-6fbc512b,CUST-1080,1999.0,PAST_DUE,2026-08-29T13:16:04.426512
SUB-558191c3,CUST-1029,8999.0,PAST_DUE,2026-08-29T13:16:04.426512
SUB-6a784756,CUST-1275,4999.0,PAST_DUE,2026-08-29T13:16:04.426512
SUB-15a16133,CUST-1034,4999.0,PAST_DUE,2026-08-29T13:16:04.426512
SUB-d2208e93,CUST-1274,4999.0,PAST_DUE,2026-08-29T13:16:04.428526
SUB-ac6c1fe3,CUST-1060,8999.0,PAST_DUE,2026-08-29T13:16:04.428526
SUB-35d4d0fa,CUST-1212,999.0,PAST_DUE,2026-08-29T13:16:04.428526
SUB-ce545688,CUST-1155,4999.0,PAST_DUE,2026-08-29T13:16:04.428526
SUB-87f67d86,CUST-1192,1999.0,PAST_DUE,2026-08-29T13:16:04.428526
SUB-b1438367,CUST-1013,8999.0,PAST_DUE,2026-08-29T13:16:04.428526
SUB-47ef85a3,CUST-1248,1999.0,PAST_DUE,2026-08-29T13:16:04.428526
SUB-a46c053d,CUST-1068,999.0,PAST_DUE,2026-08-29T13:16:04.428526
SUB-f190736e,CUST-1268,8999.0,PAST_DUE,2026-08-29T13:16:04.428526
SUB-a369b386,CUST-1045,999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-213e22a6,CUST-1160,999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-709488d0,CUST-1103,1999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-c709afa4,CUST-1061,4999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-68e6ac80,CUST-1008,4999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-769045e5,CUST-1164,4999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-22caf8c6,CUST-1126,4999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-3e9e1d3a,CUST-1228,4999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-aac36dc8,CUST-1026,8999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-5a2c3560,CUST-1201,999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-5f6a3733,CUST-1183,8999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-249368d2,CUST-1239,999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-5bd43fb5,CUST-1234,8999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-40e41771,CUST-1119,8999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-7a58eb5c,CUST-1201,4999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-9a024f5d,CUST-1233,4999.0,PAST_DUE,2026-08-29T13:16:04.430572
SUB-3b67c48d,CUST-1180,8999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-e4a85dc4,CUST-1295,4999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-5fe60b79,CUST-1055,8999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-a834c309,CUST-1273,999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-3346a6e8,CUST-1125,8999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-ca8e319a,CUST-1107,999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-1617d394,CUST-1121,4999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-43fb47e3,CUST-1294,999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-f7b5595a,CUST-1285,8999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-bda68ca2,CUST-1036,4999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-7f43dab7,CUST-1254,8999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-d90d8e02,CUST-1001,1999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-afd0a72f,CUST-1150,8999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-eb1bd587,CUST-1106,8999.0,PAST_DUE,2026-08-29T13:16:04.432586
SUB-29e303e1,CUST-1177,4999.0,PAST_DUE,2026-08-29T13:16:04.434100
SUB-954f0b2a,CUST-1151,8999.0,PAST_DUE,2026-08-29T13:16:04.434100
SUB-473ad460,CUST-1287,999.0,PAST_DUE,2026-08-29T13:16:04.435118
SUB-2c678522,CUST-1222,999.0,PAST_DUE,2026-08-29T13:16:04.435118
SUB-aa437379,CUST-1196,8999.0,PAST_DUE,2026-08-29T13:16:04.435118
SUB-6d4ce6ac,CUST-1072,1999.0,PAST_DUE,2026-08-29T13:16:04.435118
SUB-af6a2171,CUST-1079,4999.0,PAST_DUE,2026-08-29T13:16:04.435118
SUB-8059de0c,CUST-1037,1999.0,PAST_DUE,2026-08-29T13:16:04.435118
SUB-0658fea7,CUST-1224,8999.0,PAST_DUE,2026-08-29T13:16:04.437172
SUB-fa202df8,CUST-1218,8999.0,PAST_DUE,2026-08-29T13:16:04.437880
SUB-eb503a4a,CUST-1231,8999.0,PAST_DUE,2026-08-29T13:16:04.437880
SUB-71388d1a,CUST-1004,1999.0,PAST_DUE,2026-08-29T13:16:04.437880
SUB-ee431d95,CUST-1280,4999.0,PAST_DUE,2026-08-29T13:16:04.437880
SUB-f269b244,CUST-1189,8999.0,PAST_DUE,2026-08-29T13:16:04.437880
SUB-00eb8a85,CUST-1270,999.0,PAST_DUE,2026-08-29T13:16:04.437880
SUB-b7fc4bec,CUST-1046,999.0,PAST_DUE,2026-08-29T13:16:04.439895
SUB-f0d92bc4,CUST-1277,999.0,PAST_DUE,2026-08-29T13:16:04.439895
SUB-bddbeed6,CUST-1006,4999.0,PAST_DUE,2026-08-29T13:16:04.439895
SUB-65afaee8,CUST-1170,8999.0,PAST_DUE,2026-08-29T13:16:04.439895
SUB-17f577a4,CUST-1019,4999.0,PAST_DUE,2026-08-29T13:16:04.439895
SUB-c26216ab,CUST-1243,4999.0,PAST_DUE,2026-08-29T13:16:04.439895
SUB-59b1d7ae,CUST-1014,4999.0,PAST_DUE,2026-08-29T13:16:04.439895
SUB-2c0f68f6,CUST-1040,1999.0,PAST_DUE,2026-08-29T13:16:04.439895
SUB-c1b19154,CUST-1132,4999.0,PAST_DUE,2026-08-29T13:16:04.439895
SUB-10d15397,CUST-1078,1999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-6e319076,CUST-1121,4999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-dea07f22,CUST-1044,999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-da9df656,CUST-1212,8999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-09fb1ca4,CUST-1086,8999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-66c5e82a,CUST-1136,4999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-6114c65c,CUST-1244,8999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-b3f7af1d,CUST-1200,1999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-b836c384,CUST-1148,8999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-99d32b9e,CUST-1022,4999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-cddf73a4,CUST-1140,4999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-425ad04b,CUST-1300,999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-dc198ddb,CUST-1100,1999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-2404bfce,CUST-1281,1999.0,PAST_DUE,2026-08-29T13:16:04.441908
SUB-3409ee89,CUST-1211,999.0,PAST_DUE,2026-08-29T13:16:04.445143
SUB-b68e7830,CUST-1113,8999.0,PAST_DUE,2026-08-29T13:16:04.445143
SUB-422be2a1,CUST-1048,999.0,PAST_DUE,2026-08-29T13:16:04.445143
SUB-d29fc12e,CUST-1063,1999.0,PAST_DUE,2026-08-29T13:16:04.445143
SUB-d5a4375a,CUST-1290,1999.0,PAST_DUE,2026-08-29T13:16:04.445143
SUB-ccd6c4dc,CUST-1151,1999.0,PAST_DUE,2026-08-29T13:16:04.445143
SUB-de35bf08,CUST-1219,8999.0,PAST_DUE,2026-08-29T13:16:04.445143
SUB-3cd03845,CUST-1032,999.0,PAST_DUE,2026-08-29T13:16:04.446510
SUB-23b91c67,CUST-1136,999.0,PAST_DUE,2026-08-29T13:16:04.446510
SUB-e2cf5f3f,CUST-1202,8999.0,PAST_DUE,2026-08-29T13:16:04.446510
SUB-512dcfc7,CUST-1277,999.0,PAST_DUE,2026-08-29T13:16:04.446510
SUB-7012c09c,CUST-1133,999.0,PAST_DUE,2026-08-29T13:16:04.446510
SUB-3454d3a7,CUST-1129,999.0,PAST_DUE,2026-08-29T13:16:04.446510
SUB-a35f3922,CUST-1001,1999.0,PAST_DUE,2026-08-29T13:16:04.448526
SUB-71d61657,CUST-1169,4999.0,PAST_DUE,2026-08-29T13:16:04.448526
SUB-f8e02862,CUST-1224,8999.0,PAST_DUE,2026-08-29T13:16:04.448526
SUB-23f5a420,CUST-1197,1999.0,PAST_DUE,2026-08-29T13:16:04.448526
SUB-a8580536,CUST-1156,4999.0,PAST_DUE,2026-08-29T13:16:04.448526
SUB-84bbb9b7,CUST-1274,999.0,PAST_DUE,2026-08-29T13:16:04.448526
SUB-39b00dc1,CUST-1104,4999.0,PAST_DUE,2026-08-29T13:16:04.448526
SUB-c3ced1ca,CUST-1098,8999.0,PAST_DUE,2026-08-29T13:16:04.448526
SUB-48e42868,CUST-1184,999.0,PAST_DUE,2026-08-29T13:16:04.448526
