id,customer_id,amount,due_date,status,created_at
INV-dfeaf6ea,CUST-1194,75000.0,2026-08-10T13:16:04.272959,OVERDUE,2026-07-29T13:16:04.272959
INV-9ee01156,CUST-1062,12000.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-720fbae6,CUST-1084,3500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-db15f5cf,CUST-1070,12000.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-820197e1,CUST-1215,6500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-7eb58ca3,CUST-1040,6500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-f6d554ee,CUST-1086,3500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-939a7da5,CUST-1186,6500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-35c41127,CUST-1007,6500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-c0b6ddb1,CUST-1211,6500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-8691dbb5,CUST-1258,4800.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-e072f89e,CUST-1236,3500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-4f5b1f86,CUST-1179,3500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-5292d74a,CUST-1268,4800.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-2c89764c,CUST-1061,6500.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-f2aaf475,CUST-1117,4800.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-f3fdd17a,CUST-1218,4800.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
INV-708c18da,CUST-1022,12000.0,2026-08-10T13:16:04.465304,OVERDUE,2026-07-29T13:16:04.465304
