id,customer_id,amount,due_date,status,created_at
INV-96036c61,CUST-1194,75000.0,2026-08-10T13:16:03.995285,OVERDUE,2026-07-29T13:16:03.995285
INV-9b8a11ff,CUST-1062,12000.0,2026-08-10T13:16:04.135327,OVERDUE,2026-07-29T13:16:04.135327
INV-ef3ff86d,CUST-1084,3500.0,2026-08-10T13:16:04.135327,OVERDUE,2026-07-29T13:16:04.135327
INV-975087d6,CUST-1070,12000.0,2026-08-10T13:16:04.135327,OVERDUE,2026-07-29T13:16:04.135327
INV-d10cc7dd,CUST-1215,6500.0,2026-08-10T13:16:04.135327,OVERDUE,2026-07-29T13:16:04.135327
INV-003f5ca9,CUST-1040,6500.0,2026-08-10T13:16:04.135327,OVERDUE,2026-07-29T13:16:04.135327
INV-de3c05a3,CUST-1086,3500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-5c2f9c9d,CUST-1186,6500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-c4b0dc22,CUST-1007,6500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-7efc7550,CUST-1211,6500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-0d5c6ff0,CUST-1258,4800.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-ccd1cc9f,CUST-1236,3500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-3f3be827,CUST-1179,3500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-b7deda51,CUST-1268,4800.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-fa567b6b,CUST-1061,6500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-ce1437df,CUST-1117,4800.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-07ef2ba1,CUST-1218,4800.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-f88eddd4,CUST-1022,12000.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-bbf639ba,CUST-1061,3500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-443ba82a,CUST-1006,6500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-71558f70,CUST-1103,4800.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-2a1218e7,CUST-1075,3500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
INV-d87432e5,CUST-1257,6500.0,2026-08-10T13:16:04.140441,OVERDUE,2026-07-29T13:16:04.140441
